Gender,SSC Percentage,HSC Percentage,HSC Stream,Graduation Percentage,Graduation Stream,Master's Percentage,Specialisation,Internship Experience,Status
1,67,91,Commerce,58,Sci&Tech,58.8,Mkt&HR,Yes,Placed
0,79.33,78.33,Science,77.48,Sci&Tech,66.28,Mkt&Fin,Yes,Placed
1,65,68,Arts,64,Comm&Mgmt,57.8,Mkt&Fin,Yes,Placed
0,25,52,Science,52,Sci&Tech,60,Mkt&HR,No,Not Placed
0,85.8,73.6,Commerce,73.3,Comm&Mgmt,55.5,Mkt&Fin,Yes,Placed
1,26,49.8,Science,67.25,Sci&Tech,59,Mkt&Fin,No,Not Placed
0,46,49.2,Commerce,79,Comm&Mgmt,50,Mkt&Fin,No,Placed
0,82,64,Science,66,Sci&Tech,62.14,Mkt&Fin,Yes,Placed
1,73,79,Commerce,72,Comm&Mgmt,61.29,Mkt&Fin,Yes,Placed
0,83,70,Commerce,61,Comm&Mgmt,61.14,Mkt&Fin,No,Not Placed
0,58,61,Commerce,60,Comm&Mgmt,60.85,Mkt&HR,Yes,Placed
0,69.6,68.4,Commerce,78.3,Comm&Mgmt,63.7,Mkt&Fin,Yes,Placed
1,59,55,Science,65,Comm&Mgmt,59.85,Mkt&HR,No,Not Placed
0,77,87,Commerce,59,Comm&Mgmt,68.63,Mkt&Fin,Yes,Placed
0,60,47,Commerce,50,Comm&Mgmt,58.85,Mkt&HR,No,Not Placed
0,65,75,Commerce,69,Comm&Mgmt,64.66,Mkt&Fin,Yes,Placed
1,63,66.2,Commerce,65.6,Comm&Mgmt,62.54,Mkt&Fin,Yes,Placed
0,66,67,Commerce,64,Comm&Mgmt,63.66,Mkt&Fin,No,Not Placed
0,64,66,Commerce,64,Comm&Mgmt,61.54,Mkt&HR,No,Not Placed
0,60,67,Arts,70,Comm&Mgmt,77.89,Mkt&Fin,Yes,Placed
0,62,65,Commerce,66,Comm&Mgmt,56.7,Mkt&HR,Yes,Placed
1,79,76,Commerce,85,Comm&Mgmt,69.06,Mkt&Fin,Yes,Placed
0,69.8,60.8,Science,72.23,Sci&Tech,68.81,Mkt&HR,Yes,Placed
0,77.4,60,Science,64.74,Sci&Tech,63.62,Mkt&Fin,Yes,Placed
0,76.5,97.7,Science,78.86,Sci&Tech,74.01,Mkt&Fin,Yes,Placed
1,78.4,54.6,Commerce,50.2,Comm&Mgmt,62.62,Mkt&Fin,No,Not Placed
1,71,79,Commerce,66,Comm&Mgmt,57.55,Mkt&Fin,Yes,Placed
1,63,67,Commerce,66,Comm&Mgmt,57.69,Mkt&HR,Yes,Placed
1,76.76,76.5,Commerce,67.5,Comm&Mgmt,64.15,Mkt&Fin,Yes,Placed
1,64,67,Commerce,58,Comm&Mgmt,56.69,Mkt&Fin,No,Not Placed
1,64,73.5,Commerce,73,Comm&Mgmt,56.7,Mkt&HR,Yes,Placed
0,65,53,Science,65,Sci&Tech,55.69,Mkt&HR,No,Not Placed
1,61,81,Commerce,66.4,Comm&Mgmt,62.21,Mkt&HR,Yes,Placed
0,87,65,Science,81,Comm&Mgmt,72.78,Mkt&Fin,Yes,Placed
0,62,51,Science,52,Others,61.21,Mkt&HR,No,Not Placed
1,69,78,Commerce,72,Comm&Mgmt,62.74,Mkt&HR,Yes,Placed
0,79,76,Science,65.6,Sci&Tech,55.47,Mkt&HR,Yes,Placed
0,73,58,Science,66,Comm&Mgmt,56.86,Mkt&HR,Yes,Placed
0,81,68,Science,64,Sci&Tech,62.56,Mkt&Fin,Yes,Placed
1,78,77,Commerce,80,Comm&Mgmt,66.72,Mkt&Fin,Yes,Placed
1,82,63.16,Commerce,65,Comm&Mgmt,61.56,Mkt&HR,No,Not Placed
